SRR15024168	SRR15024173	SRR15024174	SRR15024175	SRR15024177	SRR15024178	SRR15024182	SRR15024183	SRR15024186	SRR15024188
ENSMMUG00000000208	2.32922610321204	1.78364134514734	1.8143058729786	1.62470671473137	2.19814384012656	1.79669059736633	2.31289451652068	2.85868998292384	2.26374404856103	1.77651498579256
ENSMMUG00000000215	0.680241559609588	0.511267994529586	0.401673611043044	1.18488739644034	0.621683611574561	-0.521713106559282	-0.573390433426333	0.86472652429045	0.284674851988662	0.428365297978971
ENSMMUG00000000217	7.00251500498438	7.15102752261799	7.14805154773638	6.97700204913739	7.09288597609326	6.95457115160818	7.14048329434147	7.25186246564378	7.23351379573776	7.16364607732625
ENSMMUG00000000220	5.45528146937275	5.42809604516771	5.28699035127971	5.06968453840579	5.69364649736099	4.95182104399692	5.32969363234198	5.44999247588533	5.35752136273464	5.4290770709111
ENSMMUG00000000223	3.42350034793824	2.77487187763836	3.09987581064437	1.03959761744124	2.8906205612806	2.25204512461708	2.66596978231879	2.80501661461209	3.0068802160414	2.93076551139395
ENSMMUG00000000224	6.20613191079079	5.92603318042608	5.78542334324139	6.36307599121663	5.73518900699494	6.1068554927171	5.95807005435082	5.75086295147841	5.81563570157771	6.15769075836058
ENSMMUG00000000226	5.31848424439024	5.47428283842036	5.56151207720036	5.298895646371	5.47684455824784	5.14734524519023	5.46464286301386	5.66834238123454	5.15530776998404	5.18874173872997
ENSMMUG00000000227	5.22985420267602	5.1461821497506	4.78397801146965	5.01420644567415	4.49709672855347	5.43036235491325	5.16286561505619	4.34254502659419	4.46604172232976	4.93063627036276
ENSMMUG00000000229	6.82880792005123	6.79870816402006	6.85069818280949	6.68326947508708	6.79363065219085	6.66120783722541	6.97490197528036	6.80238253782479	6.71982447301867	6.84208602145399
ENSMMUG00000000232	3.66219519112559	3.6591139022613	3.01407196569784	3.30495555941102	3.74304447799922	3.75196242686008	4.02077928910943	3.87165278002337	3.4342734660749	3.79777120471348
ENSMMUG00000000237	3.97027591491831	3.81417298649075	3.73045007247064	3.76008140093153	3.89313678703502	3.52363193135832	3.51137289013336	3.91102779268723	3.6708850637769	3.40780734502941
ENSMMUG00000000238	6.07498596928263	5.90348298753437	5.84052045647461	6.23514196834723	5.85437088015482	5.8967008193318	5.81175975205434	5.78639667895039	5.92444967889426	6.27516597331349
ENSMMUG00000000242	5.18512732318111	5.08340402698683	4.94359158418995	4.78292744275551	5.24812602368798	5.07389280105513	5.42877309840076	5.8877572823481	5.45301999198827	5.37553307028649
ENSMMUG00000000245	-0.603375564317254	-1.64674261568261	-1.30198486439015	-1.09502693538185	-1.03387763080447	-1.21498161362414	-1.24059076909983	0.0268741349718233	-0.689682297589005	-0.950260533495214
ENSMMUG00000000246	6.30923267546022	6.45852106046823	6.56529873013403	5.92114317436606	6.6288236705985	6.09122975763226	6.54900588614322	6.4701598106906	6.18765421587274	6.25740417920847
ENSMMUG00000000249	9.03017094805579	9.33568215486998	9.24644105487651	9.21079083792407	9.63962742163724	9.51578746203439	9.54466443587395	9.47163125768842	9.49035667620988	9.27987399047234
ENSMMUG00000000250	5.02015156071463	5.83302373228934	5.43447799238307	6.26492505459276	5.54431885247279	6.33863188335026	5.97057997058942	5.44246187016858	5.26102038069111	5.35228781849496
ENSMMUG00000000252	5.78048644196342	5.44616486818695	5.65981549934105	5.17316527009864	5.52687443435624	5.25528146773413	5.38724348606314	5.47698853702612	5.3759351603371	5.17158473750796
ENSMMUG00000000256	3.90911778249309	3.28642581396785	1.69530710830672	3.69406185246126	3.21428775933076	4.21500879288942	1.89814271694182	3.88655014825096	3.70926756358195	3.46058366356189
ENSMMUG00000000258	7.89499158277251	8.09727589274499	7.91033939226244	7.97788176853848	8.12045375801349	8.16784879661345	8.07937851749942	7.86147577682651	8.04314413104325	8.15865566010241
ENSMMUG00000000263	4.56667383182824	4.72775127974204	4.84664795887729	4.84762667460398	4.79123317952896	4.99095739911423	4.75504874087358	4.86173623473686	4.77279788448112	4.9950165875118
ENSMMUG00000000264	6.06571439989823	5.81075830839776	5.74084108468691	6.01665210649642	5.67433545722149	5.66874924019613	5.81419829394288	5.70830447881794	5.50635405203755	5.20995582994131
ENSMMUG00000000265	0.29998238459557	0.368514728655974	0.222581830989462	0.65913762034959	-0.142101043829079	0.411434445944728	0.0336461294247563	0.362350661795197	0.187373967514379	0.163758405984588
ENSMMUG00000000268	5.8048264348306	6.0881521495903	6.01619096011365	6.08259715960088	6.15250815277329	5.98762432996078	6.104865051185	6.36371855412662	6.22112026346934	6.11721819270365
ENSMMUG00000000271	0.0519511703058235	0.575281645662375	-0.171263071552286	1.07218715113293	0.409855399084758	1.68227446863843	0.656880316145742	-0.0061707215667326	-0.532711858029057	1.48907077756326
ENSMMUG00000000273	5.27243502631094	5.34408762806247	5.28788115650001	5.42890399469318	5.38570569680564	5.21655218755684	5.18940307389441	5.29796538859736	5.40919383381637	5.7056972685206
ENSMMUG00000000275	7.62683568908399	7.92563996259856	7.74211009040916	8.06223484673015	7.77953729170368	7.72801759881867	7.73659346039698	7.86703736865598	7.71754088527667	7.3710844726059
